Date,Settlement_Period,total_curtailment_MWh,num_farms_curtailed,Datetime,curtailment_MW,Hour,HourInt,Month,MonthInt,dc_util_pct,dc_headroom_pct,absorbed_Small DC cluster (200 MW)_MWh,flex_avail_Small DC cluster (200 MW)_MW,absorbed_Medium portfolio (500 MW)_MWh,flex_avail_Medium portfolio (500 MW)_MW,absorbed_Large portfolio (1 GW)_MWh,flex_avail_Large portfolio (1 GW)_MW,absorbed_Full UK flex (2 GW)_MWh,flex_avail_Full UK flex (2 GW)_MW
2024-11-03,2,684.516,9,2024-11-03 00:30:00,1369.032,0.5,0,2024-11,11,20.222820298151387,79.77717970184861,39.888589850924305,79.77717970184861,99.72147462731077,199.44294925462154,199.44294925462154,398.8858985092431,398.8858985092431,797.7717970184862
2024-11-03,3,669.316,9,2024-11-03 01:00:00,1338.632,1.0,1,2024-11,11,20.280417982592308,79.71958201740769,39.859791008703844,79.71958201740769,99.64947752175961,199.29895504351921,199.29895504351921,398.59791008703843,398.59791008703843,797.1958201740769
2024-11-03,4,628.3499999999999,9,2024-11-03 01:30:00,1256.6999999999998,1.5,1,2024-11,11,20.280417982592308,79.71958201740769,39.859791008703844,79.71958201740769,99.64947752175961,199.29895504351921,199.29895504351921,398.59791008703843,398.59791008703843,797.1958201740769
2024-11-03,5,601.2,10,2024-11-03 02:00:00,1202.4,2.0,2,2024-11,11,19.943002877736166,80.05699712226384,40.02849856113192,80.05699712226384,100.0712464028298,200.1424928056596,200.1424928056596,400.2849856113192,400.2849856113192,800.5699712226384
2024-11-03,6,572.066,10,2024-11-03 02:30:00,1144.132,2.5,2,2024-11,11,19.943002877736166,80.05699712226384,40.02849856113192,80.05699712226384,100.0712464028298,200.1424928056596,200.1424928056596,400.2849856113192,400.2849856113192,800.5699712226384
2024-11-03,7,449.25,9,2024-11-03 03:00:00,898.5,3.0,3,2024-11,11,20.8391851102172,79.1608148897828,39.5804074448914,79.1608148897828,98.9510186122285,197.902037224457,197.902037224457,395.804074448914,395.804074448914,791.608148897828
2024-11-03,8,294.234,8,2024-11-03 03:30:00,588.468,3.5,3,2024-11,11,20.8391851102172,79.1608148897828,39.5804074448914,79.1608148897828,98.9510186122285,197.902037224457,197.902037224457,395.804074448914,294.234,791.608148897828
2024-11-03,9,216.65,7,2024-11-03 04:00:00,433.3,4.0,4,2024-11,11,20.1202846972612,79.8797153027388,39.9398576513694,79.8797153027388,99.8496441284235,199.699288256847,199.699288256847,399.398576513694,216.65,798.797153027388
2024-11-03,10,172.286,6,2024-11-03 04:30:00,344.572,4.5,4,2024-11,11,20.1202846972612,79.8797153027388,39.9398576513694,79.8797153027388,99.8496441284235,199.699288256847,172.286,399.398576513694,172.286,798.797153027388
2024-11-03,11,116.816,4,2024-11-03 05:00:00,233.632,5.0,5,2024-11,11,20.02100951624113,79.97899048375888,39.98949524187944,79.97899048375888,99.9737381046986,199.9474762093972,116.816,399.8949524187944,116.816,799.7899048375888
